,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,State Name STR,Water_Source_Type
0,0.0,22.0,28.0,25.0,6.9,7.3,7.1,164.0,191.0,178.0,0.5,0.5,0.5,0.1,0.4,0.3,1.0,2.0,2.0,16.0,260.0,138.0,ANDHRA PRADESH,Open Well
1,0.0,22.0,26.0,24.0,6.7,7.2,7.0,755.0,1039.0,897.0,0.4,1.2,0.8,1.3,7.0,4.2,1.0,2.0,2.0,8.0,20.0,14.0,ANDHRA PRADESH,Open Well
2,0.0,30.0,30.0,30.0,7.4,7.4,7.4,1101.0,1101.0,1101.0,0.8,0.8,0.8,1.8,1.8,1.8,2.0,2.0,2.0,1100.0,1100.0,1100.0,ANDHRA PRADESH,Open Well
3,0.0,22.0,22.0,22.0,7.9,8.0,8.0,543.0,769.0,656.0,1.7650396103342008,2.4946339820241255,2.133709813978977,1.5,1.5,1.5,2.0,2.0,2.0,50.0,50.0,50.0,ANDHRA PRADESH,Open Well
4,0.0,20.0,25.0,23.0,7.0,7.1,7.1,900.0,1463.0,1182.0,0.3,0.3,0.3,9.0,12.0,10.5,2.0,40.0,21.0,24.0,800.0,412.0,ANDHRA PRADESH,Bore Well
5,0.0,20.0,25.0,23.0,6.9,7.0,7.0,1778.0,3750.0,2764.0,0.3,0.5,0.4,8.4,10.0,9.2,1.0,2.0,2.0,2.0,78.0,40.0,ANDHRA PRADESH,Bore Well
6,0.0,20.0,28.0,24.0,7.1,7.4,7.3,1350.0,1918.0,1634.0,0.4,0.5,0.45,2.7,6.1,4.4,2.0,2.0,2.0,60.0,104.0,82.0,ANDHRA PRADESH,Open Well
7,0.0,20.0,28.0,24.0,7.1,7.4,7.3,778.0,800.0,789.0,0.2,0.5,0.35,8.0,8.0,8.0,2.0,2.0,2.0,20.0,24.0,22.0,ANDHRA PRADESH,Bore Well
8,0.0,22.0,22.0,22.0,7.4,7.7,7.6,645.0,1791.0,1218.0,1.7474144430689476,2.5502602313383083,2.1478184515018235,0.4,2.1,1.3,31.464690750792954,53.56616914504808,41.71552630582475,122.68833235366618,283.53366135197535,196.30413106702864,ANDHRA PRADESH,Bore Well
9,0.0,21.0,21.0,21.0,7.6,7.6,7.6,1211.0,1853.0,1532.0,1.779807896990611,2.5047503235331408,2.1440096186333863,0.6,0.7,0.7,33.31885621146014,49.413287998771615,41.02322080398627,114.9258368659926,288.27267671749695,196.43458344624628,ANDHRA PRADESH,Bore Well
10,0.0,22.0,28.0,25.0,7.2,8.1,7.6,1108.0,1352.0,1197.0,1.7831819312682493,2.5398975597309743,2.157458547915335,2.3,4.4,3.3,2.0,2.0,2.0,70.0,70.0,70.0,ANDHRA PRADESH,Bore Well
11,0.0,30.0,30.0,30.0,7.5,7.5,7.5,1128.0,1128.0,1128.0,1.0,1.0,1.0,1.8,1.8,1.8,2.0,2.0,2.0,1100.0,1100.0,1100.0,ANDHRA PRADESH,Bore Well
12,0.0,30.0,30.0,30.0,7.3,7.4,7.4,1287.0,1653.0,1470.0,0.8,0.8,0.8,1.7,20.7,11.2,2.0,2.0,2.0,1100.0,1100.0,1100.0,ANDHRA PRADESH,Bore Well
13,0.0,25.0,29.0,27.0,7.3,7.8,7.6,1684.0,2360.0,1925.0,1.4,3.6,2.2,0.3,17.3,9.0,2.0,4.0,2.0,800.0,1100.0,1040.0,ANDHRA PRADESH,Bore Well
14,0.0,29.0,32.0,31.0,6.7,7.6,7.2,1241.0,2840.0,2041.0,1.8,4.2,3.0,0.6,11.5,6.1,2.0,2.0,2.0,1100.0,1100.0,1100.0,ANDHRA PRADESH,Bore Well
15,0.0,24.0,26.0,25.0,7.3,7.6,7.4,1492.0,1895.0,1650.0,1.3,2.0,1.6,2.6,14.5,7.4,2.0,4.0,3.0,4.0,14.0,11.0,ANDHRA PRADESH,Bore Well
16,0.0,24.0,26.0,25.0,7.4,7.9,7.7,1440.0,3840.0,2079.0,1.0,1.8,1.4,2.9,13.5,5.8,2.0,6.0,4.0,6.0,21.0,13.0,ANDHRA PRADESH,Bore Well
17,0.0,19.0,26.0,25.0,7.3,7.9,7.6,1063.0,2440.0,1784.0,1.0,2.4,1.6,0.4,25.3,7.9,2.0,110.0,16.0,6.0,1700.0,220.0,ANDHRA PRADESH,Bore Well
18,0.0,20.0,25.0,23.0,7.6,8.3,7.8,625.0,1555.0,1160.0,1.0,3.2,2.1,0.4,13.8,6.4,2.0,140.0,38.0,6.0,1100.0,284.0,ANDHRA PRADESH,Bore Well
19,0.0,28.0,29.0,28.0,7.0,7.4,7.2,3900.0,4700.0,4300.0,1.0,1.1,1.1,37.2,55.5,46.4,3.0,3.0,3.0,460.0,1100.0,780.0,ANDHRA PRADESH,Open Well
20,0.0,28.0,35.0,31.0,7.6,7.9,7.8,217.0,699.0,458.0,1.0,1.0,1.0,2.4,4.4,3.4,0.0,4.0,2.0,240.0,1100.0,670.0,ANDHRA PRADESH,Open Well
21,0.0,27.0,29.0,28.0,7.8,7.8,7.8,212.0,213.0,213.0,1.0,1.0,1.0,0.3,0.6,0.5,0.0,0.0,0.0,3.0,3.0,3.0,ANDHRA PRADESH,Bore Well
22,0.0,26.0,29.0,27.0,7.0,7.9,7.5,2160.0,2640.0,2400.0,0.8,1.0,0.9,6.2,17.2,11.7,0.0,0.0,0.0,3.0,3.0,3.0,ANDHRA PRADESH,Open Well
23,1.0,25.0,29.0,27.0,7.0,7.1,7.1,130.0,148.0,139.0,0.3,1.0,0.7,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
24,1.0,24.0,26.0,25.0,6.7,6.9,6.8,315.0,334.0,325.0,1.8,3.5,2.7,0.1,0.1,0.1,0.0,0.0,0.0,360.0,360.0,360.0,ASSAM,Ground Water
25,1.0,22.0,24.0,23.0,5.9,6.6,6.3,220.0,239.0,230.0,1.8,4.8,3.3,0.1,0.1,0.1,0.0,0.0,0.0,1.0,360.0,181.0,ASSAM,Ground Water
26,1.0,24.0,24.0,24.0,6.2,6.2,6.2,280.0,280.0,280.0,5.6,5.6,5.6,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
27,1.0,20.0,22.0,21.0,6.4,6.9,6.7,145.0,154.0,150.0,2.0,2.0,2.0,0.2,0.3,0.25,0.0,0.0,0.0,1.0,300.0,151.0,ASSAM,Ground Water
28,1.0,12.0,13.0,12.0,5.2,5.8,5.5,102.0,114.0,108.0,0.8,4.9,2.9,0.1,5.2,2.65,0.0,0.0,0.0,360.0,910.0,635.0,ASSAM,Ground Water
29,1.0,27.0,28.0,27.0,7.1,7.9,7.5,510.0,578.0,544.0,0.4,2.6,1.5,0.1,0.8,0.45,0.0,360.0,180.0,1.0,2800.0,1401.0,ASSAM,Ground Water
30,1.0,25.0,28.0,27.0,6.1,7.1,6.6,295.0,304.0,300.0,1.2,1.7,1.5,5.1,11.8,8.45,0.0,0.0,0.0,1.0,360.0,181.0,ASSAM,Ground Water
31,1.0,20.0,27.0,24.0,7.2,7.8,7.5,141.0,758.0,450.0,2.1,3.7,2.9,0.2,0.3,0.25,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
32,1.0,22.0,27.0,25.0,6.8,6.8,6.8,850.0,1001.0,926.0,0.9,3.0,2.0,0.2,2.9,1.55,0.0,0.0,0.0,360.0,360.0,360.0,ASSAM,Ground Water
33,1.0,18.0,26.0,22.0,6.0,6.1,6.1,350.0,351.0,351.0,0.8,1.0,0.9,0.3,1.4,0.85,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
34,1.0,21.0,24.0,23.0,6.5,7.2,6.9,290.0,310.0,300.0,1.6,3.0,2.3,0.1,0.1,0.1,0.0,0.0,0.0,1.0,300.0,151.0,ASSAM,Ground Water
35,1.0,20.0,20.0,20.0,6.6,6.6,6.6,126.0,126.0,126.0,0.6,0.6,0.6,0.4,0.4,0.4,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
36,1.0,17.0,23.0,20.0,6.9,7.4,7.2,424.0,467.0,446.0,1.1,2.1,1.6,0.2,0.2,0.2,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
37,1.0,17.0,23.0,20.0,6.5,6.7,6.6,111.0,121.0,116.0,0.4,4.6,2.5,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
38,1.0,17.0,23.0,20.0,6.9,7.2,7.1,330.0,369.0,350.0,1.5,1.5,1.5,0.1,11.8,5.95,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
39,1.0,23.0,24.0,24.0,6.8,7.5,7.2,120.0,136.0,128.0,0.7,1.3,1.0,0.1,0.6,0.35,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
40,1.0,27.0,28.0,27.0,6.5,7.2,6.9,410.0,503.0,457.0,1.8,2.3,2.1,0.1,0.1,0.1,0.0,0.0,0.0,1.0,360.0,181.0,ASSAM,Ground Water
41,1.0,25.0,28.0,27.0,6.7,7.1,6.9,2350.0,2810.0,2580.0,0.8,3.0,1.9,0.1,1.4,0.75,0.0,360.0,180.0,1.0,910.0,456.0,ASSAM,Ground Water
42,1.0,25.0,28.0,26.0,6.5,7.1,6.8,280.0,2810.0,1545.0,0.7,3.0,1.9,0.1,1.5,0.8,360.0,360.0,360.0,910.0,910.0,910.0,ASSAM,Ground Water
43,1.0,20.0,26.0,23.0,7.5,7.7,7.6,240.0,264.0,252.0,2.2,2.9,2.6,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
44,1.0,25.0,27.0,26.0,7.1,8.2,7.7,435.0,455.0,445.0,0.6,0.6,0.6,0.1,0.3,0.2,0.0,730.0,365.0,1.0,1500.0,751.0,ASSAM,Ground Water
45,1.0,25.0,29.0,27.0,5.8,7.5,6.7,125.0,133.0,129.0,0.6,2.8,1.7,0.4,1.3,0.85,0.0,0.0,0.0,1.0,300.0,151.0,ASSAM,Ground Water
46,1.0,27.0,29.0,28.0,6.1,7.9,7.0,450.0,482.0,466.0,0.9,1.5,1.2,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
47,1.0,28.0,30.0,29.0,6.3,6.7,6.5,410.0,427.0,419.0,0.4,0.8,0.6,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
48,1.0,23.0,25.0,24.0,6.3,7.9,7.1,435.0,452.0,444.0,0.7,0.8,0.8,0.3,0.7,0.5,0.0,0.0,0.0,1.0,360.0,181.0,ASSAM,Ground Water
49,1.0,22.0,27.0,25.0,6.6,7.4,7.0,1150.0,1291.0,1221.0,1.0,1.5,1.3,0.1,0.1,0.1,0.0,0.0,0.0,360.0,910.0,635.0,ASSAM,Ground Water
50,1.0,20.0,20.0,20.0,6.5,6.5,6.5,121.0,121.0,121.0,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
51,1.0,10.0,28.0,19.0,7.1,7.3,7.2,170.0,179.0,175.0,1.6,2.0,1.8,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,ASSAM,Ground Water
52,1.0,11.0,11.0,11.0,6.8,7.1,7.0,430.0,470.0,450.0,0.3,0.4,0.4,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1500.0,751.0,ASSAM,Ground Water
53,1.0,12.0,25.0,18.0,6.2,8.0,7.1,320.0,335.0,328.0,1.4,1.7,1.6,0.1,0.1,0.1,0.0,0.0,0.0,1.0,910.0,456.0,ASSAM,Ground Water
54,1.0,12.0,27.0,19.0,6.7,8.2,7.5,850.0,3940.0,2395.0,1.2,6.6,3.9,0.1,0.1,0.1,0.0,0.0,0.0,360.0,730.0,545.0,ASSAM,Ground Water
55,12.0,18.0,23.0,20.0,5.7,8.0,6.7,386.0,464.0,424.0,1.2,2.7,1.6,1.5569955801336377,7.318968363858137,4.221224745557381,32.5950745077958,52.36036866516554,41.59073329407456,7.0,15.0,10.0,MIZORAM,Ground Water
56,12.0,17.0,22.0,20.0,6.1,6.9,6.5,428.0,720.0,594.0,1.4,2.1,1.7,2.3838663617216738,5.318836825919613,3.8968012317381104,33.216687238648646,47.663144167800795,40.22027094152126,7.0,19.0,13.0,MIZORAM,Ground Water
57,11.0,28.0,28.0,28.0,7.0,7.0,7.0,115.0,115.0,115.0,1.7985493349420114,2.4361398572201507,2.1246378445850693,3.133909241621366,4.400173917398498,3.7456840245003824,28.907219718961233,62.280227403785894,44.77910264449513,120.60630181919267,249.68613160198447,184.70560186966426,MANIPUR,Ground Water
58,11.0,21.0,21.0,21.0,6.7,6.7,6.7,20.0,20.0,20.0,1.802303087424035,2.4427255031971873,2.126242607508108,3.278671362273604,3.766724266447567,3.633770099696325,37.18568563031937,50.56928908083057,43.27678380286579,82.86889194095458,297.9532865513468,186.88872521342304,MANIPUR,Ground Water
59,11.0,28.0,28.0,28.0,6.5,6.5,6.5,557.0,557.0,557.0,1.8036322093771566,2.430990759672597,2.1229405130468106,3.092503531909581,4.421152904631404,3.754279121571609,29.243298404743225,63.00309980186642,45.26590689030229,122.91569933521679,247.55121387712296,185.1197665300381,MANIPUR,Ground Water
60,11.0,29.0,29.0,29.0,7.1,7.1,7.1,367.0,367.0,367.0,1.8001084673884653,2.4343447016444784,2.123965099755175,3.2511562397915887,4.373011614298562,3.7331118041096913,21.81309580006188,66.39985259912885,42.99425671059303,30.0,30.0,30.0,MANIPUR,Ground Water
61,18.0,25.0,29.0,27.0,6.7,7.6,7.3,460.0,562.0,523.0,1.7210029090634642,2.516077994011644,2.1179878326778874,0.03,1.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Open Well
62,18.0,25.0,28.0,27.0,6.5,7.9,7.5,265.0,380.0,302.0,1.6262637501242903,2.5704429945636558,2.1068333840945765,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Open Well
63,18.0,26.0,28.0,27.0,5.9,6.2,6.1,160.0,165.0,162.0,1.7688907981234803,2.459343762029828,2.11951456170903,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Ground Water
64,18.0,27.0,28.0,27.0,6.9,7.3,7.0,55.0,62.0,58.0,1.8515458060171885,2.4309943310478865,2.1378893424060648,2.8493050204514434,4.792620963041032,3.7513827284756194,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Ground Water
65,18.0,26.0,27.0,27.0,6.4,6.7,6.5,85.0,95.0,90.0,1.812127600517987,2.4631538074978625,2.1357920687501366,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Ground Water
66,18.0,27.0,28.0,27.0,6.5,6.6,6.5,140.0,151.0,147.0,1.829765978222211,2.414542953061811,2.1261331999468203,2.9924746184593225,4.42897023498177,3.6889827570343914,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Ground Water
67,18.0,26.0,28.0,27.0,6.9,7.1,7.0,145.0,152.0,148.0,1.7956666101212064,2.4408641923154026,2.1243785330229157,2.9088554842907692,4.70002541801643,3.721256020971732,0.0,0.0,0.0,0.0,0.0,0.0,TRIPURA,Ground Water
68,4.0,23.0,28.0,26.0,7.2,7.9,7.5,390.0,1243.0,891.0,0.4,0.8,0.7,2.6,33.0,17.8,-8.190507911628528,94.670521007188,40.75546275397378,5.0,5.0,5.0,CHHATTISGARH,Ground Water
69,4.0,20.0,32.0,27.0,7.4,8.1,7.9,298.0,3560.0,2336.0,0.9,3.6,2.3,0.3,20.0,10.2,-11.526079065256539,87.36813615508251,38.79412759349525,4.0,50.0,22.0,CHHATTISGARH,Ground Water
70,4.0,27.0,30.0,29.0,7.9,8.3,8.1,1835.0,1976.0,1906.0,0.1,0.1,0.1,50.0,50.0,50.0,24.394213222057015,55.38584608542362,39.60178189782105,188.09337271068455,161.2085717872817,176.3561039917247,CHHATTISGARH,Ground Water
71,4.0,28.0,30.0,29.0,7.7,8.4,8.1,1872.0,2215.0,2044.0,0.1,0.1,0.1,50.0,50.0,50.0,24.141674147012907,56.493651423854914,40.08545959968288,190.43336417765647,156.2599927286948,176.26081416820227,CHHATTISGARH,Ground Water
72,9.0,28.0,28.0,28.0,7.5,7.5,7.5,450.0,450.0,450.0,2.1,2.1,2.1,3.349697147720163,4.505735213903395,3.8304604596567313,20.60125193065236,64.62841850257723,41.668123682215494,16.0,16.0,16.0,MADHYA PRADESH,Bore Well
73,9.0,27.0,27.0,27.0,7.2,7.2,7.2,380.0,380.0,380.0,1.5,1.5,1.5,3.4457300260409767,4.299118255594641,3.7825077810927197,22.772248505833723,62.52232117943322,41.76529640566721,17.0,17.0,17.0,MADHYA PRADESH,Bore Well
74,9.0,18.0,18.0,18.0,6.9,7.4,7.2,620.0,1310.0,965.0,2.2,2.2,2.2,0.3,1.4,0.85,40.323650084583974,43.81858333286793,41.537128197652905,72.2226195870208,325.0650845121963,191.75191830898038,MADHYA PRADESH,Ground Water
75,9.0,22.0,38.0,30.0,7.4,7.6,7.5,1328.0,1650.0,1489.0,1.0,1.0,1.0,0.8,0.9,0.85,28.122672489450224,57.13660916900075,42.24094902930447,120.45412737964106,260.6509271834201,188.56712955027828,MADHYA PRADESH,Ground Water
76,9.0,27.0,30.0,28.0,7.0,8.0,7.5,898.0,1071.0,972.0,0.6,1.0,0.8,0.1,30.0,15.7,-4.613087304461658,97.67041851036447,43.11557059082537,2.0,10.0,7.0,MADHYA PRADESH,Bore Well
77,9.0,24.0,24.0,24.0,7.8,7.8,7.8,924.0,924.0,924.0,1.1,1.1,1.1,5.3,5.3,5.3,27.682554801317718,52.259239556951194,39.64170043032706,11.0,11.0,11.0,MADHYA PRADESH,Ground Water
78,9.0,24.0,24.0,24.0,7.7,7.7,7.7,1024.0,1024.0,1024.0,1.0,1.0,1.0,8.2,8.2,8.2,27.3784803654365,52.624075573648064,39.62792281714467,11.0,11.0,11.0,MADHYA PRADESH,Ground Water
79,9.0,25.72978637301186,27.04172426112818,26.471725736965602,7.6,7.6,7.6,2650.0,2650.0,2650.0,1.7939718811627394,2.444245468364938,2.1269142208086538,2.9,2.9,2.9,31.411130766244636,53.37942780266064,42.23182177417918,118.89511197096208,262.0008618673593,189.84270809916774,MADHYA PRADESH,Ground Water
80,9.0,25.67957655191112,27.101841961419478,26.463778192121037,7.6,7.6,7.6,1250.0,1250.0,1250.0,1.7879430866043458,2.4520501931652494,2.1286662233153995,2.7,2.7,2.7,30.87045297313658,55.24423001896724,42.76283607570682,115.6121765199333,261.4444748638658,187.91784872899078,MADHYA PRADESH,Ground Water
81,9.0,25.683775331849798,27.111572978679696,26.49810126506085,8.0,8.0,8.0,2490.0,2490.0,2490.0,1.7882693226839745,2.4520125249883415,2.1293036284216793,1.2,1.2,1.2,31.285313841120868,52.653110123306035,41.8475657341125,115.67630778686696,267.21689668566387,190.3904466149749,MADHYA PRADESH,Ground Water
82,9.0,25.70270672592794,27.062353763419154,26.44014472095709,7.3,7.3,7.3,948.0,948.0,948.0,1.790845788780239,2.447618435568014,2.127149001297315,4.3,4.3,4.3,30.78278941541308,56.3352433657188,43.193126872723724,117.47157310310526,256.6238242245081,186.79587447594406,MADHYA PRADESH,Ground Water
83,9.0,26.0,30.0,28.0,7.0,8.0,7.6,986.0,2084.0,1370.0,0.4,1.6,0.9,0.1,27.1,6.5,3.3369788600320787,89.76108596445468,42.11167470725274,4.0,8.0,5.0,MADHYA PRADESH,Ground Water
84,9.0,26.0,30.0,28.0,7.0,8.0,7.6,82.0,3746.0,2295.0,1.0,2.8,1.4,0.1,4.9,2.9,7.723808346500821,75.23184401688806,41.282960004046615,3.0,60.0,12.0,MADHYA PRADESH,Ground Water
85,9.0,26.0,30.0,28.0,6.9,7.8,7.2,730.0,4772.0,2491.0,0.8,1.2,1.0,0.1,40.0,6.6,-6.3114856239316754,101.68029386168982,41.58798384980763,2.0,9.0,5.0,MADHYA PRADESH,Ground Water
86,7.0,26.0,27.0,27.0,7.4,8.3,7.9,682.0,1750.0,1216.0,1.746531087064823,2.5656011513277277,2.148653548724254,2.6799431351327336,5.746463544933674,4.016109994521534,9.0,9.0,9.0,11.0,11.0,11.0,HIMACHAL PRADESH,Ground Water
